,comments
0,英语字幕君上线
1,Hello?
2,DaiWei?
3,When do you come back?
4,"Oh,you are TianTian"
5,Where's your father?
6,Where's your mother?
7,Oh
8,Cooking?
9,When do you come back?
10,You don't know?
11,I'll give you
12,Page?
13,Tell me what do you want
14,What is page?
15,I Inaudible 
16, Where's theAntenna 
17,Mating 
18,HI
19,Wear
20,Do you know what is page?
21,I'm Li Yubao
22,I won't tell you. 
23,What's page
24,I ask again
25,What's page
26,I have a question
27,This is page
28,You are
29,See?
30,My Grandson  only three years old
31,Come on！
32,what isthis?
33,My parents gave me a name page
34,Why is your name Paige? 
35,It is ZhangPeiqi
36,I KNOW page
37,Just say
38,I KNOW
39,The third daughter-in-law stayed there 
40,Used to babysit 
41,Where are you going
42,Who?
43,"Yeah, she know it"
44,What are you going to do? 
45,I'm Yubao
46,What'up?
47,Does sister at home?
48,Does sister at home?
49,She worked as a nanny in Beijing 
50,I'll ask her what is Paige 
51,WHAT did you say?
52,WHAT'S page
53,Pig
54,What kind of pig? 
55,"He's something wrong,tell him"
56,"Little pig, It's red"
57,Pigs can't be painted 
58,It has to be red 
59,Can't black.Can't Color 
60,It's a character in a cartoon 
61,What cartoon ?
62,Can't let you paint
63,So tell me what it looks like 
64,Page is fake
65,Do you think this will do 
66,like
67,like this
68,NO
69,"Son,you come back"
70,Its nose is round 
71,小卖部卖手机
72,塑料兄弟情
73,熊孩子欠盘
74,吴大为的还行。。
75,苏西
76,鼓风机
77,小马佩德罗
78,卧槽
79,这叫鼓风机 暴露年龄了
80,脸疼不？？就问骂人的你们脸疼不？？
81,傲娇
82,佩奇
83,硬核老头
84,真香
85,村通网
86,苏西怎么在这呀
87,妙啊
88,我也是没见过
89,猝不及防
90,我的记忆里已经没有多少我爷爷的位置了……
91,这个是真的真实  我上次就是这样  背着几十斤的包骑了十公里的自行车
92,这些人不比很多明星演的好？
93,就不能用别人手机再打个电话?
94,电视是有，你也得知道哪个台，什么时间会放啊！
95,老人大多就只固定看几个频道
96,我一广西人哪里知道他说的标准不标准....我不介意
97,封面
98,佩奇不是个东西
99,看穿一切的男人-------唢呐王
100,老人跟孩子说话当然不用方言了，怕听不懂
101,多前回来啊
102,普通手套是可以触屏的
103,开2倍速听起来像电音
104,666666666
105,快过年了
106,真香
107,这是张家口话
108,什么人啊。。。。
109,盘她
110,天天
111,哈哈哈哈哈哈哈笑着哭
112,硬核佩奇
113,明明是鲁F啊
114,蓝字是魔鬼吧
115,真实
116,赛博朋克2077
117,他不是信号不好，他是手机不好
118,明明鼓风机
119,要哭了
120,刚拿的会员滋滋
121,张家口方言说快了你们听不懂的
122,这爷爷真好，感动
123,车排子是山东的
124,我涿鹿县的
125,泪目
126,@手工耿
127,反向春运哈哈哈
128,真香！
129,233333333333333333333333333333333333
130,英文翻译弹幕  佩奇是piggy 的音译 小猪的意思
131,啊啊啊放开那猪猪
132,谁呀！！！
133,泪目
134,嘎嘎嘎嘎嘎嘎嘎嘎嘎
135,我有点想哭了
136,不孝
137,5元30M  5元30M  开通中国移动  5元30兆  5元30兆
138,这爷爷真好
139,底部弹幕是真的烦，已屏蔽
140,哈哈哈哈哈哈哈
141,这才社会
142,真实
143,下面的红字真的尴尬，时态都是错的，还挡住字幕，秀nm呢秀
144,眼泪你为什么要留下来
145,太真实了 泪目
146,和我外公外婆一样，来到家之后一包一包的都是他们从家里带来的菜和水果
147,朋克风的小猪佩琪
148,牛逼
149,现在农村基本不会有太穷得了，主要是信息闭塞，有钱也不知道啥东西好
150,要是我
151,要是我爷爷对我这么好就好了
152,笑里有泪
153,真香
154,呜呜呜，我爷爷在我爸爸七岁时便过生了。
155,心疼
156,牛逼噢
157,盘他
158,视频是在河北张家口怀来县找的本地村民拍的！
